branch	status
feat/agent-effectiveness	pass
feat/agent-timeout-metrics	pass
feat/circuit-breaker-per-class	pass
feat/error-classify	pass
feat/graceful-shutdown	pass
feat/provider-health-dashboard	pass
feat/provider-rate-limiter	pass
feat/session-crash-recovery	pass
feat/session-durability	pass
feat/structured-handoff	pass
fix/audit-hardening-phase1	pass
fix/auth-scope-consistency	pass
integrate/hypervisor-patterns	pass
main	pass
merge/final-pass	pass
worktree-agent-effectiveness-improvements	pass
worktree-audit-hardening	pass
worktree-browser-stealth	pass
worktree-tasks-orchestration	pass
